Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,season,PlayerURL
33,Jerry Jeudy,CLE,WR,25,14,13,0,0,0,0,0,0,0,,0,111,70,1052,15.03,4,0,0,4,2,,133.0,203.2,206.2,168.2,29,8,33,2024,https://www.pro-football-reference.com/players/J/JeudJe00.htm
35,Jaxon Smith-Njigba,SEA,WR,22,14,13,1,1,35,0,0,3,17,5.67,0,114,85,994,11.69,5,1,0,5,,,133.0,217.5,220.5,175.0,28,9,35,2024,https://www.pro-football-reference.com/players/S/SmitJa06.htm
36,Jayden Reed,GNB,WR,24,14,8,0,0,0,0,0,16,155,9.69,1,65,49,727,14.84,6,2,0,7,,,130.0,179.2,185.2,154.7,26,10,36,2024,https://www.pro-football-reference.com/players/R/ReedJa03.htm
37,Garrett Wilson,NYJ,WR,24,14,14,0,0,0,0,0,1,5,5.00,0,134,84,933,11.11,6,1,1,6,1,,130.0,213.8,217.8,171.8,25,11,37,2024,https://www.pro-football-reference.com/players/W/WilsGa00.htm
39,Mike Evans,TAM,WR,31,11,11,0,0,0,0,0,0,0,,0,79,52,749,14.40,9,0,0,9,,,129.0,180.9,183.9,154.9,24,12,39,2024,https://www.pro-football-reference.com/players/E/EvanMi00.htm
41,Courtland Sutton,DEN,WR,29,14,11,2,2,30,1,0,0,0,,0,113,66,878,13.30,6,1,1,6,,,127.0,193.0,197.0,160.0,23,14,41,2024,https://www.pro-football-reference.com/players/S/SuttCo00.htm
40,Jordan Addison,MIN,WR,22,12,12,0,0,0,0,0,3,20,6.67,1,77,51,771,15.12,7,0,0,8,,,127.0,178.1,181.1,152.6,23,13,40,2024,https://www.pro-football-reference.com/players/A/AddiJo00.htm
44,A.J. Brown,PHI,WR,27,11,11,0,0,0,0,0,0,0,,0,77,56,946,16.89,5,0,0,5,,,125.0,180.6,183.6,152.6,20,15,44,2024,https://www.pro-football-reference.com/players/B/BrowAJ00.htm
45,Davante Adams,2TM,WR,32,11,11,0,0,0,0,0,0,0,,0,108,67,860,12.84,6,0,0,6,1,,124.0,191.0,194.0,157.5,20,16,45,2024,https://www.pro-football-reference.com/players/A/AdamDa01.htm
47,Nico Collins,HOU,WR,25,9,9,0,0,0,0,0,0,0,,0,78,53,849,16.02,6,0,0,6,,,121.0,173.9,176.9,147.4,17,17,47,2024,https://www.pro-football-reference.com/players/C/CollNi00.htm
50,Zay Flowers,BAL,WR,24,14,12,0,0,0,0,0,7,44,6.29,0,101,66,916,13.88,4,0,0,4,,,120.0,186.0,189.0,153.0,16,18,50,2024,https://www.pro-football-reference.com/players/F/FlowZa00.htm
54,Darnell Mooney,ATL,WR,27,14,14,0,1,0,0,0,0,0,,0,95,57,873,15.32,5,0,0,5,,,117.0,174.3,177.3,145.8,14,20,54,2024,https://www.pro-football-reference.com/players/M/MoonDa00.htm
55,Ladd McConkey,LAC,WR,23,13,11,0,0,0,0,0,0,0,,0,88,63,873,13.86,5,2,0,5,,,117.0,180.3,183.3,148.8,14,19,55,2024,https://www.pro-football-reference.com/players/M/McCoLa00.htm
57,Jauan Jennings,SFO,WR,27,12,8,0,0,0,0,0,0,0,,0,87,59,805,13.64,6,0,0,6,,,117.0,175.5,178.5,146.0,13,21,57,2024,https://www.pro-football-reference.com/players/J/JennJa00.htm
58,Malik Nabers,NYG,WR,21,12,11,0,1,0,0,0,5,2,0.40,0,140,90,901,10.01,4,1,0,4,1,,116.0,206.3,209.3,161.3,13,22,58,2024,https://www.pro-football-reference.com/players/N/NabeMa00.htm
60,Tyreek Hill,MIA,WR,30,14,14,0,0,0,0,0,8,53,6.63,0,104,67,805,12.01,5,0,0,5,,,116.0,182.8,185.8,149.3,12,23,60,2024,https://www.pro-football-reference.com/players/H/HillTy00.htm
61,D.J. Moore,CHI,WR,27,14,14,0,1,0,0,0,10,60,6.00,0,112,76,758,9.97,5,0,0,5,1,,114.0,189.8,192.8,151.8,10,24,61,2024,https://www.pro-football-reference.com/players/M/MoorD.00.htm
63,Jameson Williams,DET,WR,23,12,8,0,0,0,0,0,8,56,7.00,0,68,42,747,17.79,5,0,0,5,,,110.0,152.3,155.3,131.3,7,25,63,2024,https://www.pro-football-reference.com/players/W/WillJa11.htm
68,Marvin Harrison Jr.,ARI,WR,22,14,14,0,0,0,0,0,0,0,,0,92,47,687,14.62,7,1,1,7,,,109.0,155.7,159.7,132.2,5,27,68,2024,https://www.pro-football-reference.com/players/H/HarrMa09.htm
65,Puka Nacua,LAR,WR,23,9,9,0,0,0,0,0,11,46,4.18,1,83,61,805,13.20,3,0,0,4,,,109.0,170.1,173.1,139.6,6,26,65,2024,https://www.pro-football-reference.com/players/N/NacuPu00.htm
69,Rashod Bateman,BAL,WR,25,14,11,0,0,0,0,0,0,0,,0,60,38,654,17.21,7,0,0,7,,,107.0,145.4,148.4,126.4,4,28,69,2024,https://www.pro-football-reference.com/players/B/BateRa00.htm
71,Calvin Ridley,TEN,WR,30,14,11,0,0,0,0,0,5,51,10.20,1,104,53,779,14.70,3,1,1,4,,,105.0,158.0,162.0,131.5,2,29,71,2024,https://www.pro-football-reference.com/players/R/RidlCa00.htm
104,Tee Higgins,CIN,WR,25,9,7,0,0,0,0,0,0,0,,0,81,50,669,13.38,6,0,0,6,,,103.0,152.9,155.9,127.9,,30,,2024,https://www.pro-football-reference.com/players/H/HiggTe00.htm
105,Cooper Kupp,LAR,WR,31,10,9,0,0,0,0,0,2,10,5.00,0,94,63,657,10.43,6,1,0,6,,,103.0,165.7,168.7,134.2,,31,,2024,https://www.pro-football-reference.com/players/K/KuppCo00.htm
106,Khalil Shakir,BUF,WR,24,13,8,0,0,0,0,0,2,4,2.00,0,88,71,774,10.90,4,0,0,4,,,102.0,172.8,175.8,137.3,,33,,2024,https://www.pro-football-reference.com/players/S/ShakKh00.htm
107,DeVonta Smith,PHI,WR,26,11,11,0,0,0,0,0,1,1,1.00,0,74,56,662,11.82,6,0,0,6,,,102.0,158.3,161.3,130.3,,32,,2024,https://www.pro-football-reference.com/players/S/SmitDe07.htm
108,George Pickens,PIT,WR,23,12,10,0,0,0,0,0,2,-6,-3.00,0,90,55,850,15.45,3,1,1,3,,,100.0,155.4,159.4,127.9,,34,,2024,https://www.pro-football-reference.com/players/P/PickGe00.htm
109,Xavier Worthy,KAN,WR,21,14,11,0,0,0,0,0,15,84,5.60,3,78,44,494,11.23,4,0,0,7,,,100.0,143.8,146.8,121.8,,35,,2024,https://www.pro-football-reference.com/players/W/WortXa00.htm
111,D.K. Metcalf,SEA,WR,27,12,10,0,0,0,0,0,0,0,,0,93,57,840,14.74,3,2,2,3,,,98.0,155.0,160.0,126.5,,36,,2024,https://www.pro-football-reference.com/players/M/MetcDK00.htm
112,Jakobi Meyers,LVR,WR,28,12,12,0,0,0,0,0,2,23,11.50,0,105,71,802,11.30,2,0,0,2,1,,97.0,167.5,170.5,132.0,,37,,2024,https://www.pro-football-reference.com/players/M/MeyeJa01.htm
114,Quentin Johnston,LAC,WR,23,12,9,0,0,0,0,0,3,6,2.00,0,63,34,459,13.50,8,0,0,8,,,95.0,128.5,131.5,111.5,,38,,2024,https://www.pro-football-reference.com/players/J/JohnQu02.htm
115,Alec Pierce,IND,WR,24,14,11,0,0,0,0,0,0,0,,0,58,29,645,22.24,5,0,0,5,,,95.0,123.5,126.5,109.0,,39,,2024,https://www.pro-football-reference.com/players/P/PierAl00.htm
118,Keenan Allen,CHI,WR,32,12,12,0,0,0,0,0,0,0,,0,97,53,553,10.43,6,1,0,6,,,91.0,144.3,147.3,117.8,,40,,2024,https://www.pro-football-reference.com/players/A/AlleKe00.htm
120,Josh Downs,IND,WR,23,11,7,0,0,0,0,0,1,12,12.00,0,86,56,626,11.18,4,0,0,4,,,88.0,143.8,146.8,115.8,,41,,2024,https://www.pro-football-reference.com/players/D/DownJo00.htm
121,Chris Godwin,TAM,WR,28,7,7,0,0,0,0,0,1,2,2.00,0,62,50,576,11.52,5,1,0,5,,,88.0,137.8,140.8,112.8,,42,,2024,https://www.pro-football-reference.com/players/G/GodwCh00.htm
122,DeAndre Hopkins,2TM,WR,32,14,8,0,0,0,0,0,0,0,,0,72,50,566,11.32,5,1,0,5,,,87.0,136.6,139.6,111.6,,44,,2024,https://www.pro-football-reference.com/players/H/HopkDe00.htm
123,Jaylen Waddle,MIA,WR,26,14,14,0,0,0,0,0,3,6,2.00,0,74,54,700,12.96,2,0,0,2,2,,87.0,140.6,143.6,113.6,,45,,2024,https://www.pro-football-reference.com/players/W/WaddJa00.htm
124,Nick Westbrook-Ikhine,TEN,WR,27,14,7,0,0,0,0,0,0,0,,0,43,23,393,17.09,8,0,0,8,,,87.0,110.3,113.3,98.8,,43,,2024,https://www.pro-football-reference.com/players/W/WestNi00.htm
125,Demarcus Robinson,LAR,WR,30,14,14,0,0,0,0,0,0,0,,0,55,28,433,15.46,7,0,0,7,,,85.0,113.3,116.3,99.3,,46,,2024,https://www.pro-football-reference.com/players/R/RobiDe01.htm
129,Rome Odunze,CHI,WR,22,14,9,0,0,0,0,0,3,15,5.00,0,88,47,624,13.28,3,1,0,3,,,82.0,128.9,131.9,105.4,,47,,2024,https://www.pro-football-reference.com/players/O/OdunRo00.htm
134,Romeo Doubs,GNB,WR,24,11,10,0,0,0,0,0,0,0,,0,58,37,523,14.14,4,0,0,4,,,76.0,113.3,116.3,94.8,,49,,2024,https://www.pro-football-reference.com/players/D/DoubRo00.htm
136,Deebo Samuel,SFO,WR,28,13,13,0,0,0,0,0,34,95,2.79,1,71,43,569,13.23,1,1,1,2,,,76.0,119.4,123.4,97.9,,48,,2024,https://www.pro-football-reference.com/players/S/SamuDe00.htm
137,Jalen Tolbert,DAL,WR,25,14,13,0,0,0,0,0,0,0,,0,66,40,462,11.55,5,0,0,5,,,76.0,116.2,119.2,96.2,,50,,2024,https://www.pro-football-reference.com/players/T/TolbJa00.htm
